Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Adrian Skogmar,62,CM,"RB, CDM",172,70,Sweden,Allsvenskan,Malmö FF
Kerr Smith,62,CB,RB,188,75,Scotland,Premier League,Aston Villa
Tom Sparrow,62,RB,,177,74,Wales,Scottish Prem,Motherwell
Lee Steacy,62,GK,,185,83,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
Rei Tachikawa,62,CM,"CAM, ST",178,72,Japan,ISL,Jamshedpur FC
Franck Tchassem,62,ST,,178,75,Cameroon,SUPERLIGA,FC Univ. Cluj
George Ungureanu,62,GK,,188,75,Romania,SUPERLIGA,FC Rapid 1923
Wojciech Urbański,62,CAM,,184,75,Poland,PKO BP Ekstraklasa,Legia Warszawa
Suhair Vadakkepeedika,62,RM,"LM, ST, RW",174,74,India,ISL,East Bengal
Jordi Valadon,62,CDM,CM,168,70,Australia,A-League,Melb. Victory
Oskar van Hattum,62,RW,"ST, RB, RM",183,75,New Zealand,A-League,Well. Phoenix
Edwin Sydney Vanspaul,62,RB,CDM,170,68,India,ISL,East Bengal
Farik Ventura,62,CM,,170,70,Peru,Sudamericana,Dep. Garcilaso
Kane Vidmar,62,CB,,185,78,Australia,A-League,Western United
Stephen Walsh,62,ST,"LB, CB",182,77,Republic of Ireland,SSE Airtricity PD,Galway United
Reece Welch,62,CB,,197,88,England,Premier League,Everton
Dean Williams,62,ST,,174,58,Republic of Ireland,SSE Airtricity PD,Shelbourne
Kadan Young,62,LM,"RM, LW",176,72,England,Premier League,Aston Villa
Elias Aarflot,61,ST,,186,75,Norway,Eliteserien,Tromsø IL
Jordan Adebayo-Smith,61,ST,,181,74,United States,MLS,Minnesota United
Joseph Adjei,61,CB,,189,79,Ghana,ISL,Mohammedan SC
Awet Ermias Alemseged,61,RW,RM,181,70,Norway,Eliteserien,Kristiansund BK
José Alipaz,61,LM,"CM, RM, LW",178,74,Bolivia,Sudamericana,Universitario
Mohammad Alsalkhadi,61,RW,RM,177,71,Sweden,Allsvenskan,IFK Värnamo
Casper Glenna Andersen,61,RB,RM,177,70,Norway,Eliteserien,Odds BK
David Andersson,61,GK,,187,72,Sweden,Allsvenskan,IFK Norrköping
Ethem Balcı,61,RW,RM,184,74,Turkey,Trendyol Süper Lig,Kayserispor
Jethren Barr,61,GK,,184,78,South Africa,SSE Airtricity PD,Drogheda United
Zishim Bawa,61,LM,"RM, ST, LW",180,73,Nigeria,SSE Airtricity PD,Drogheda United
Patrick Beach,61,GK,,183,75,Australia,A-League,Melbourne City
Răzvan Began,61,GK,,194,91,Romania,SUPERLIGA,FC Dinamo 1948
Michael Boamah,61,CB,,190,78,Finland,Finnliiga,HJK Helsinki
Isaac Boehmer,61,GK,,188,84,Canada,MLS,Whitecaps FC
Arif Boşluk,61,LB,LM,184,75,Turkey,Trendyol Süper Lig,Trabzonspor
Rhys Bozinovski,61,CDM,CM,173,68,Australia,A-League,Western United
Alan Bród,61,CAM,CM,177,72,Poland,PKO BP Ekstraklasa,GKS Katowice
Ryan Burke,61,LB,,177,73,Republic of Ireland,SSE Airtricity PD,Waterford
Tiago Caballero,61,ST,,178,69,Paraguay,Sudamericana,Club Nacional
Frederik Carstensen,61,RM,"LM, RW",179,68,Denmark,Eliteserien,Sarpsborg 08
Leon Chiwome,61,ST,,186,75,England,Premier League,Wolves
Matthew Connor,61,GK,,192,82,Republic of Ireland,SSE Airtricity PD,Waterford
William Da Rocha,61,GK,,191,75,Norway,Eliteserien,KFUM-Kameratene
Clemilson Da Silva,61,CM,,175,70,Bolivia,Sudamericana,Wilstermann
Vignesh Dakshinamurthy,61,LB,LM,181,73,India,ISL,Chennaiyin FC
Hamza El Dahri,61,CAM,CM,177,72,Holland,Eredivisie,Sparta Rotterdam
Nouri El Harmazi,61,CAM,CM,175,70,Holland,Eredivisie,RKC Waalwijk
Ben Engdahl,61,RB,,179,72,Sweden,Allsvenskan,BK Häcken
Marcus Ferkranus,61,CB,,188,82,United States,A-League,Brisbane Roar
Mark Ferrie,61,ST,,179,76,Scotland,Scottish Prem,Motherwell
Kristian Fletcher,61,LM,LW,183,79,United States,MLS,D.C. United
Shane Flynn,61,CB,,181,68,Republic of Ireland,SSE Airtricity PD,Waterford
Adam Foley,61,RM,RW,188,80,Republic of Ireland,SSE Airtricity PD,Drogheda United
Richard Emeka Friday,61,ST,RM,183,75,Nigeria,Allsvenskan,GAIS
Narender Gahlot,61,RB,"CB, LB",184,79,India,ISL,Odisha FC
Martin Gjone,61,CB,,180,74,Norway,Eliteserien,Sandefjord
Luke Graham,61,CB,LB,186,75,Scotland,Scottish Prem,Dundee FC
Darius Grosu,61,RB,CM,173,73,Romania,SUPERLIGA,Farul Constanța
Andreas Hegdahl Gundersen,61,ST,,182,78,Norway,Eliteserien,KFUM-Kameratene
Carlos Harvey,61,CDM,,184,70,Panama,MLS,Minnesota United
Patrick Hickey,61,CB,CDM,195,80,United States,SSE Airtricity PD,Galway United
Jackson Hopkins,61,CAM,CM,188,74,United States,MLS,D.C. United
Wilfred George Igor,61,CM,,181,72,Nigeria,Eliteserien,Kristiansund BK
Sander Håvik Innvær,61,RM,RW,180,75,Norway,Eliteserien,FK Haugesund
Jang Yeong Woo,61,RB,LB,179,74,Korea Republic,K League 1,Suwon FC
Jang Si Young,61,RM,"LM, RB, RW",174,69,Korea Republic,K League 1,Ulsan Hyundai
Sven Jansen,61,GK,,192,78,Holland,Eredivisie,Go Ahead Eagles
Timo Jansink,61,GK,,198,82,Holland,Eredivisie,Heracles Almelo
Oliver Jones,61,CB,LB,185,75,Australia,A-League,Macarthur FC
Jung Ji Hoon,61,LM,"RM, CAM, LW",175,65,Korea Republic,K League 1,GwangJu FC
Panagiotis Kattirtzis,61,CM,,173,68,Cyprus,Liga Cyprus,APOEL FC
Dara Keane,61,CDM,CM,180,76,Republic of Ireland,SSE Airtricity PD,Dundalk
Jack Keaney,61,CB,CDM,188,78,Republic of Ireland,SSE Airtricity PD,Drogheda United
Lalthathanga Khawlhring,61,CM,"CDM, LM",165,69,India,ISL,Odisha FC
Kim Seong Min,61,RB,RW,171,69,Korea Republic,K League 1,Incheon United
Kim Dae Woo,61,CM,,179,78,Korea Republic,K League 1,Gangwon FC
Kim Ha Jun,61,CB,ST,188,78,Korea Republic,K League 1,Jeonbuk Hyundai
Kim Gyu Hyeong,61,CAM,,168,63,Korea Republic,K League 1,Pohang Steelers
Bernt Klaverboer,61,GK,,190,84,Holland,Eredivisie,sc Heerenveen
Jakub Konstantyn,61,LM,"ST, LW",175,78,Poland,PKO BP Ekstraklasa,Korona Kielce
Amet Korça,61,CB,,193,82,United States,MLS,FC Dallas
Igor Kośmicki,61,CB,,190,78,Poland,PKO BP Ekstraklasa,Korona Kielce
Luka Kukić,61,GK,,188,88,Bosnia and Herzegovina,SUPERLIGA,FC Botoșani
Ritwik Kumar Das,61,LM,"RM, LW",174,72,India,ISL,Jamshedpur FC
Sasha Kuzevski,61,RB,RM,177,72,Australia,A-League,Central Coast
Pawel Kwiatkowski,61,CB,,180,75,Poland,PKO BP Ekstraklasa,Widzew Łódź
Pachuau Laldinpuia,61,CB,"RB, LB",180,78,India,ISL,Chennaiyin FC
Isaiah LeFlore,61,LB,LM,175,72,United States,MLS,Philadelphia
Anderson Leguizamón,61,LM,LW,180,75,Paraguay,Sudamericana,Guaraní
Franco Lino,61,LB,CB,182,75,Australia,Eliteserien,Viking FK
Ben Lundt,61,GK,,198,99,Germany,MLS,St. Louis CITY SC
Debjit Majumder,61,GK,,175,71,India,ISL,East Bengal
Glan Martins,61,CDM,CM,183,70,India,ISL,Mohun Bagan SG
Oğuzhan Matur,61,LB,,173,71,Turkey,Trendyol Süper Lig,Hatayspor
Michał Matys,61,GK,,189,80,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Aaron McNally,61,LB,"RM, RB",173,75,Republic of Ireland,SSE Airtricity PD,Drogheda United
Mateusz Mędrala,61,GK,,189,86,Poland,PKO BP Ekstraklasa,Lech Poznań
Dermot Mee,61,GK,,183,70,Northern Ireland,Premier League,Man Utd
Kanayo Megwa,61,RB,,176,70,England,Scottish Prem,Hibernian
Martin Miller,61,RB,LM,177,64,Estonia,SSE Airtricity PD,Bohemians
Thoiba Singh Moirangthem,61,CDM,CB,170,69,India,ISL,Odisha FC
Francisco Morel,61,ST,,181,75,Paraguay,Sudamericana,Club Nacional
Joe Morrison,61,GK,,186,72,Scotland,Scottish Prem,Celtic
Trey Muse,61,GK,,193,88,United States,MLS,Portland Timbers
Sivasakthi Narayanan,61,ST,,165,61,India,ISL,Bengaluru FC
Jack Neeley,61,CB,,185,77,United States,MLS,Charlotte FC
Alexander Nilsson,61,GK,,190,90,Sweden,Eliteserien,HamKam Fotball
Maurice Nugent,61,CDM,CB,180,67,Republic of Ireland,SSE Airtricity PD,Galway United
Niall O'Keeffe,61,CDM,CM,175,70,Republic of Ireland,SSE Airtricity PD,Waterford
Curtis Ofori,61,LB,LM,168,68,United States,MLS,Red Bulls
Jakub Ojrzyński,61,GK,,196,84,Poland,Premier League,Liverpool
Koen Oostenbrink,61,CDM,,190,71,Holland,SSE Airtricity PD,Dundalk
Mohamed Oukhattou,61,CAM,CM,180,70,Holland,Eredivisie,PEC Zwolle
Timothy Noor Ouma,61,CAM,,183,75,Kenya,Allsvenskan,IF Elfsborg
Leander Øy,61,GK,,182,70,Norway,Eliteserien,Sarpsborg 08
Emil Özkan,61,CM,,178,68,Sweden,Allsvenskan,IK Sirius
Park Chu Young,61,ST,,182,75,Korea Republic,K League 1,Ulsan Hyundai
Park Kyu Min,61,RM,"LM, CAM, RW",180,71,Korea Republic,K League 1,Jeonbuk Hyundai
Christie Pattisson,61,RM,"CAM, RW",180,75,England,SSE Airtricity PD,Waterford
Adam Pavlesic,61,GK,,189,87,Australia,A-League,Central Coast
Adrián Peña,61,CAM,ST,184,70,Bolivia,Sudamericana,Wilstermann
Jaden Pinas,61,CB,,187,79,Holland,Eredivisie,Almere City FC
Ernesto Pinillos,61,GK,,180,80,Peru,Sudamericana,ADT
Alfie Pond,61,CB,,191,84,England,Premier League,Wolves
Kristian Popović,61,CDM,CM,184,76,Australia,A-League,Macarthur FC
Davide Popșa,61,RB,,175,65,Romania,SUPERLIGA,Sepsi OSK
Ramhlunchhunga Ramhlunchhunga,61,LM,"RM, LW",169,64,India,ISL,Hyderabad FC
Jonas Dobloug Rasen,61,RW,"LW, RM",179,71,Norway,Eliteserien,HamKam Fotball
Laldinliana Renthlei,61,RB,,175,68,India,ISL,Odisha FC
Mauro Rodas,61,GK,,188,80,Paraguay,Sudamericana,S. Trinidense
Luca Ross,61,RM,"ST, RW",177,66,Scotland,Scottish Prem,Motherwell
Rodrigo Sandoval,61,CB,LB,186,81,Chile,Libertadores,Cobresal
Santiago Santacruz,61,CM,,175,70,Colombia,Sudamericana,Indep. Medellín
Talha Sarıarslan,61,ST,,175,68,Turkey,Trendyol Süper Lig,Kayserispor
Maarten Schut,61,GK,,180,76,Holland,Eredivisie,Willem II
Hitesh Sharma,61,CM,CDM,173,65,India,ISL,Mumbai City FC
Ross Sinclair,61,GK,,197,75,Scotland,Scottish Prem,St. Johnstone
Sandeep Singh,61,RB,"CB, LB",175,73,India,ISL,Kerala Blasters
Boris Singh,61,RM,"RB, LM, RW",161,63,India,ISL,FC Goa
Song Jun Seok,61,LB,LM,174,68,Korea Republic,K League 1,Gangwon FC
Alexandru Stan,61,ST,LW,188,79,Romania,SUPERLIGA,FC Gloria Buzău
Taylor Steven,61,RM,"LM, RW",175,63,Scotland,Scottish Prem,St. Johnstone
Miłosz Strzeboński,61,CAM,CM,181,75,Poland,PKO BP Ekstraklasa,Korona Kielce
Sil Swinkels,61,CB,,190,78,Holland,Premier League,Aston Villa
Liam Tahwildaran,61,LB,,178,75,Sweden,Allsvenskan,Brommapojkarna
Joël van der Wilt,61,GK,,187,78,Holland,Eredivisie,Almere City FC
Alexander Warneryd,61,RB,"LB, LM",179,74,Sweden,Allsvenskan,Västerås SK
Mitchell Wassenne,61,RM,RW,172,76,Chile,Sudamericana,Everton
Charlie Whitaker,61,CAM,,179,74,England,Premier League,Everton
Andrew Wogan,61,GK,,189,80,Republic of Ireland,SSE Airtricity PD,Drogheda United
Miska Ylitolva,61,RB,RM,178,69,Finland,Finnliiga,HJK Helsinki
Yu Sun,61,CB,CDM,188,74,Korea Republic,K League 1,Gimcheon Sangmu
Adam Zimarino,61,ST,RM,182,70,Australia,A-League,Brisbane Roar
Albin Ahlstrand,60,CM,,184,64,Sweden,Allsvenskan,Halmstads BK
Isak Alemayehu,60,CM,,177,70,Sweden,Allsvenskan,Djurgårdens IF
Matías Alvarado,60,RM,"LM, RW",178,74,Chile,Sudamericana,Coquimbo Unido
Viktor Andersson,60,GK,,189,84,Sweden,Allsvenskan,IFK Värnamo
Enzo Andrén,60,CAM,,175,69,Sweden,Allsvenskan,IF Elfsborg
Mayowa Animasahun,60,CB,,184,76,Republic of Ireland,SSE Airtricity PD,Dundalk
Muhammed Eren Arıkan,60,LB,,174,69,Turkey,Trendyol Süper Lig,Kayserispor
Daniel Bąk,60,ST,,181,71,Poland,PKO BP Ekstraklasa,Korona Kielce
Norbert Barczak,60,RB,,183,75,Poland,PKO BP Ekstraklasa,Górnik Zabrze
Vincy Barretto,60,RM,"LM, RW",170,57,India,ISL,Chennaiyin FC
Nathanael Blair,60,ST,,180,75,Australia,A-League,Perth Glory
Iker Blanco,60,GK,,186,77,Colombia,Sudamericana,Indep. Medellín
Jack Brady,60,GK,,182,74,Republic of Ireland,SSE Airtricity PD,Galway United
Magnus Brøndbo,60,GK,,188,76,Norway,Eliteserien,FK Bodø/Glimt
Richard Brush,60,GK,,185,86,England,SSE Airtricity PD,Sligo Rovers
Mario Butros,60,CM,,181,74,Sweden,Allsvenskan,Brommapojkarna
Hayden Cann,60,CB,,189,81,England,SSE Airtricity PD,Dundalk
Linus Carlstrand,60,ST,RM,184,79,Sweden,Allsvenskan,IFK Göteborg
Jacob Castro,60,GK,,193,86,United States,MLS,Sounders FC
Souvik Chakrabarti,60,RB,"CDM, CM",171,70,India,ISL,East Bengal
Ayush Chhetri,60,CDM,CM,176,68,India,ISL,FC Goa
Choi Geon Ju,60,ST,"LW, LM",175,64,Korea Republic,K League 1,Daejeon
Adam Chojecki,60,CDM,CM,180,75,Poland,PKO BP Ekstraklasa,Korona Kielce
Makan Winkle Chothe,60,CAM,"RM, LM",169,58,India,ISL,Mohammedan SC
Farukh Choudhary,60,LM,"RM, ST, LW",180,74,India,ISL,Chennaiyin FC
Matias Delgadillo,60,RB,"LB, LM",181,80,Bolivia,Sudamericana,Wilstermann
Luke Dennison,60,GK,,190,86,United States,SSE Airtricity PD,Drogheda United
Emir Derviskadic,60,CDM,,172,68,Norway,Eliteserien,FK Haugesund
Seiminlen Doungel,60,RW,"RM, ST",172,69,India,ISL,Jamshedpur FC
Deniz Ertaş,60,GK,,193,77,Turkey,Trendyol Süper Lig,Konyaspor
Logan Farrington,60,ST,,188,79,United States,MLS,FC Dallas
César Flores,60,ST,,174,76,Bolivia,Sudamericana,Wilstermann
Brandon Forbes,60,LW,"ST, LM",178,70,Scotland,Scottish Prem,Dundee United
Joseph Forde,60,LB,,178,70,Australia,SSE Airtricity PD,Waterford
Gabriel Fuentes,60,GK,,188,88,Chile,Libertadores,Palestino
Julian Gaines,60,RB,,178,73,United States,MLS,Nashville SC
Rareș Gal,60,GK,,186,75,Romania,SUPERLIGA,CFR 1907 Cluj
Parthib Gogoi,60,RM,"ST, RW",177,67,India,ISL,NorthEast United
Albino Giovanni Gomes,60,GK,,189,87,India,ISL,Jamshedpur FC
Paul Grave,60,GK,,193,93,Germany,Bundesliga,VfL Bochum 1848
Jack Grieves,60,ST,,180,75,England,Scottish Prem,Ross County
Lorcan Healy,60,GK,,180,80,Republic of Ireland,SSE Airtricity PD,Shelbourne
Krisztián Hegyi,60,GK,,193,85,Hungary,Scottish Prem,Motherwell
Darius Iurasciuc,60,CB,,178,72,Romania,SUPERLIGA,UTA Arad
Aniket Jadhav,60,LM,"RM, LW",174,72,India,ISL,Jamshedpur FC
Jakub Jezierski,60,CAM,,186,75,Poland,PKO BP Ekstraklasa,Śląsk Wrocław
Nate Jones,60,CB,,190,84,United States,MLS,Colorado Rapids
August Karlin,60,CDM,,178,71,Sweden,Eliteserien,Lillestrøm SK
Josh Keeley,60,GK,,191,65,Republic of Ireland,Premier League,Tottenham Hotspur
Peder Klausen,60,GK,,185,78,Norway,Eliteserien,Odds BK
John Klein,60,RM,RW,170,63,United States,MLS,St. Louis CITY SC
Olaf Korczakowski,60,LM,LW,177,75,Poland,PKO BP Ekstraklasa,Pogoń Szczecin
Kwak Seung Min,60,ST,,186,80,Korea Republic,K League 1,Jeju United
Provat Lakra,60,RB,"LB, CDM",170,66,India,ISL,East Bengal
Lalchungnunga Lalchungnunga,60,CB,"RB, LB",183,81,India,ISL,East Bengal
Ole Langbråten,60,GK,,188,82,Norway,Eliteserien,Fredrikstad FK
Lee Joo Hyun,60,GK,,188,78,Korea Republic,K League 1,Gimcheon Sangmu
Lee Jong Wook,60,RW,RM,180,73,Korea Republic,K League 1,Incheon United
Lee Seung Won,60,CM,ST,174,66,Korea Republic,K League 1,Gimcheon Sangmu
Tucker Lepley,60,RW,RM,170,64,United States,MLS,LA Galaxy
August Ljungberg,60,LW,LM,180,75,Sweden,Allsvenskan,IK Sirius
Alfons Lohake,60,CM,,179,74,Sweden,Allsvenskan,Brommapojkarna
Jack Lynn,60,ST,,185,79,United States,MLS,Orlando City
Kaelan Majekodunmi,60,CB,,188,75,Australia,A-League,Perth Glory
Gustavo Marecos,60,CM,,175,70,Paraguay,Sudamericana,Guaraní
Cristian Martínez,60,CM,,181,71,Paraguay,Sudamericana,S. Trinidense
Callan McKenna,60,GK,,188,76,Scotland,Premier League,AFC Bournemouth
Ninthoi Meetei,60,RM,"RW, LM",163,59,India,ISL,Punjab FC
Marcus Melchior,60,CM,,170,69,Norway,Eliteserien,Sandefjord
Mirshad Michu,60,GK,,179,75,India,ISL,NorthEast United
Bryce Miranda,60,LW,"CDM, RW, LM",175,70,India,ISL,Kerala Blasters
Amín Molinas,60,CM,,175,72,Paraguay,Libertadores,Libertad
Rudi Molotnikov,60,CAM,"LM, RM",179,65,Scotland,Scottish Prem,Hibernian
D'Alessandro Montenegro,60,CB,,174,71,Peru,Sudamericana,ADT
Ross Munro,60,GK,,182,83,Scotland,SSE Airtricity PD,Dundalk
Kiyan Nassiri,60,ST,LM,178,65,India,ISL,Chennaiyin FC
Wally Njie,60,ST,,180,71,Norway,Eliteserien,Sandefjord
Nolan Norris,60,CM,CDM,178,68,United States,MLS,FC Dallas
Arne Hopland Ødegård,60,CM,,178,76,Norway,Eliteserien,HamKam Fotball
Nickson Okosun,60,LM,"ST, LW",187,74,Republic of Ireland,SSE Airtricity PD,Bohemians
Javier Otero,60,GK,,198,83,Venezuela,MLS,Orlando City
Dylan Oyarzún,60,ST,,185,87,Chile,Libertadores,Huachipato
Muhammet Ali Özbaskıcı,60,CAM,CM,172,67,Turkey,Trendyol Süper Lig,Samsunspor
Isaiah Parente,60,CAM,,178,68,United States,MLS,LA Galaxy
Nick Pariano,60,CAM,,170,66,United States,MLS,Philadelphia
Park Chang Woo,60,RB,,178,69,Korea Republic,K League 1,Jeonbuk Hyundai
Liam Parker,60,CB,,191,73,Scotland,Scottish Prem,St. Johnstone
Oliver Ramis,60,CDM,CM,173,71,Chile,Libertadores,Cobresal
Amey Ranawade,60,RB,,167,69,India,ISL,Odisha FC
Princeton Rebello,60,CDM,CM,171,58,India,ISL,Punjab FC
Kaylen Reitmaier,60,GK,,197,86,Germany,Eredivisie,Sparta Rotterdam
Alberto Risco,60,CAM,,178,68,Spain,LaLiga,Getafe CF
Roger Rojas,60,LB,,181,70,Paraguay,Sudamericana,Sportivo Luqueño
Tadhg Ryan,60,GK,,181,74,Republic of Ireland,SSE Airtricity PD,Derry City
Adrian Sæther,60,GK,,197,91,Norway,Eliteserien,Kristiansund BK
Aakash Sangwan,60,LB,,178,70,India,ISL,FC Goa
Shubham Sarangi,60,RB,"RM, CAM",179,68,India,ISL,Jamshedpur FC
Oliver Semmle,60,GK,,191,91,Germany,MLS,Philadelphia
Alex Servian,60,CAM,ST,168,65,Paraguay,Sudamericana,S. Ameliano
Harrison Sharp,60,GK,,189,81,Scotland,Scottish Prem,Dundee FC
Jitendra Singh,60,CDM,CM,169,68,India,ISL,Chennaiyin FC
Gurmeet Singh,60,GK,,183,80,India,ISL,NorthEast United
Kamaljit Singh,60,GK,,185,80,India,ISL,East Bengal
Arshdeep Singh,60,GK,,181,69,India,ISL,FC Goa
Jakub Snopczyński,60,CAM,,174,65,Poland,PKO BP Ekstraklasa,Radomiak Radom
Jithin Subran,60,LM,LW,169,61,India,ISL,NorthEast United
Dylan Teves,60,RM,RW,172,63,United States,MLS,Sounders FC
Redeem Tlang,60,RM,"LM, RW",166,65,India,ISL,NorthEast United
Filip Trpcevski,60,ST,RW,183,75,North Macedonia,Allsvenskan,BK Häcken
Emre Uzun,60,CM,,179,63,Turkey,Trendyol Süper Lig,Antalyaspor
Nando Verdoni,60,GK,,185,75,Holland,Eredivisie,Go Ahead Eagles
Duke Verduin,60,GK,,195,82,Holland,Eredivisie,PEC Zwolle
Jack Warshawsky,60,GK,,189,78,Australia,A-League,Central Coast
David Webster,60,CB,,187,78,Republic of Ireland,SSE Airtricity PD,Drogheda United
Ye Hong Gyu,60,RB,"RM, CM",171,65,Korea Republic,K League 1,Jeju United
Yoon Suk Ju,60,CDM,CM,178,69,Korea Republic,K League 1,Pohang Steelers
Marcus Younis,60,RM,"LM, RW",175,74,Australia,A-League,WS Wanderers
Nils Zätterström,60,CB,,190,80,Sweden,Allsvenskan,Malmö FF
Asheer Akhtar,59,CB,RB,176,74,India,ISL,NorthEast United
Mehmet Albayrak,59,CB,RB,186,77,Turkey,Trendyol Süper Lig,Sivasspor
César Álvarez,59,CM,,172,71,Peru,Sudamericana,ADT
Martin Alvsaker,59,RM,RW,181,73,Norway,Eliteserien,FK Haugesund
Nathan Amanatidis,59,LM,LW,175,72,Australia,A-League,Sydney FC
Joel Anasmo,59,LM,LW,190,81,Australia,A-League,Perth Glory
Casper Andersson,59,GK,,184,76,Sweden,Allsvenskan,Kalmar FF
Hugo Andersson Mella,59,CAM,,178,69,Sweden,Allsvenskan,IK Sirius
Conner Antley,59,LB,CB,185,78,United States,MLS,D.C. United
Umit Aras,59,CB,,183,80,Sweden,Allsvenskan,Västerås SK
Taylan Utku Aydın,59,CB,,180,75,Turkey,Trendyol Süper Lig,Kasımpaşa
Hugo Bacharach,59,CB,,193,95,Spain,MLS,Minnesota United
Emil Benny,59,CAM,"LM, RM",171,65,India,ISL,Jamshedpur FC
Maksymilian Boruc,59,GK,,195,72,Poland,Scottish Prem,Hibernian
Saulo Cancho,59,CB,,170,70,Peru,Sudamericana,ADT
Nicolás Cárcamo,59,CM,,174,70,Chile,Libertadores,Huachipato
Yiğit Emre Çeltik,59,CM,CAM,164,62,Turkey,Trendyol Süper Lig,Kayserispor
Peter Cherrie,59,GK,,188,76,Scotland,SSE Airtricity PD,Dundalk
Matías Daniele,59,GK,,195,83,Argentina,Sudamericana,Belgrano
Rohit Danu,59,LW,LM,173,59,India,ISL,Bengaluru FC
Sourav Das,59,CDM,"CM, LM",173,72,India,ISL,Jamshedpur FC
Zac De Jesus,59,RB,,173,67,Australia,A-League,Sydney FC
Aibanbha Dohling,59,CB,"LB, RB",175,67,India,ISL,Kerala Blasters
Michael Edwards,59,CB,,193,80,United States,MLS,Colorado Rapids
Otega Ekperuoh,59,GK,,202,90,Sweden,Allsvenskan,Brommapojkarna
Owen Elding,59,ST,LM,179,70,Republic of Ireland,SSE Airtricity PD,Sligo Rovers
Isaac Esquenazi,59,GK,,180,72,Chile,Sudamericana,Everton
Aldo Galeano,59,GK,,185,75,Paraguay,Sudamericana,S. Ameliano
Hunor Gedő,59,GK,,186,85,Romania,SUPERLIGA,Sepsi OSK
Mitch Glasson,59,ST,,180,75,Australia,A-League,Sydney FC
Jay Gupta,59,LB,CB,185,70,India,ISL,FC Goa
Filip Gustafsson,59,CDM,,181,76,Sweden,Allsvenskan,GAIS
Taha Habroune,59,CAM,CM,182,76,United States,MLS,Columbus Crew
Aaron Harper-Bailey,59,CB,,194,70,England,SSE Airtricity PD,Drogheda United
Haakon Haugen,59,LW,LM,181,71,Norway,Eliteserien,Kristiansund BK
Heo Kang Joon,59,CB,,188,80,Korea Republic,K League 1,Jeju United
Alexander Hidalgo,59,CAM,,171,68,Peru,Sudamericana,ADT
Hong Uk Hyun,59,CB,,188,74,Korea Republic,K League 1,Gimcheon Sangmu
Bertin Jacquesson,59,ST,RM,183,82,France,MLS,Real Salt Lake
Noah James,59,GK,,195,78,Australia,A-League,Newcastle Jets
Kang Min Woo,59,CB,,185,77,Korea Republic,K League 1,Ulsan Hyundai
Kim Han Seo,59,CM,,174,68,Korea Republic,K League 1,Daejeon
Kim Tae Hun,59,GK,,189,82,Korea Republic,K League 1,Gimcheon Sangmu
Kim Yu Sung,59,GK,,187,80,Korea Republic,K League 1,Incheon United
Kim Ju Hwan,59,RB,LB,178,75,Korea Republic,K League 1,Ulsan Hyundai
Jan Krzywański,59,GK,,189,85,Poland,PKO BP Ekstraklasa,Widzew Łódź
Rohit Kumar,59,CDM,CM,183,75,India,ISL,Odisha FC
Bleon Kurtulus,59,CB,,181,71,Sweden,Allsvenskan,Halmstads BK
Lee Dong Won,59,LB,CM,180,66,Korea Republic,K League 1,Daejeon
Lim Yoo Seok,59,CB,,190,83,Korea Republic,K League 1,Daejeon
Alex Lindelöv,59,CM,,183,77,Sweden,Allsvenskan,Västerås SK
Francely Lomboto,59,LW,"ST, LM",196,79,Republic of Ireland,SSE Airtricity PD,Galway United
Favian Loyola,59,CM,RM,178,68,United States,MLS,Orlando City
Sebastian Holm Mathisen,59,LW,LM,177,72,Norway,Eliteserien,Sandefjord
Benjamin Mazzeo,59,RM,RW,174,65,Australia,A-League,Melbourne City
Samik Mitra,59,GK,,185,75,India,ISL,Chennaiyin FC
Liam Möller,59,CAM,RW,174,66,Finland,Finnliiga,HJK Helsinki
Devendra Murgaonkar,59,ST,"LM, RM",167,63,India,ISL,FC Goa
Mathias Bakken Myklebust,59,LB,,180,70,Norway,Eliteserien,FK Haugesund
Mamour Ndiaye,59,GK,,190,82,Senegal,Eliteserien,Sarpsborg 08
Alexander Nielsen,59,GK,,186,77,Sweden,Allsvenskan,Halmstads BK
Matthew O'Brien,59,CM,CDM,178,71,Republic of Ireland,SSE Airtricity PD,Drogheda United
Conor O'Keeffe,59,RB,CB,184,76,Republic of Ireland,SSE Airtricity PD,Galway United
Oh Hoo Sung,59,ST,CAM,173,64,Korea Republic,K League 1,GwangJu FC
William Osnes-Ringen,59,CAM,CM,178,68,Norway,Eliteserien,HamKam Fotball
Sander Østraat,59,GK,,191,80,Norway,Eliteserien,HamKam Fotball
Sahil Panwar,59,LB,CB,179,67,India,ISL,Mumbai City FC
Park Kyung Bae,59,ST,LW,182,70,Korea Republic,K League 1,Gangwon FC
Harry Politidis,59,LB,LM,175,75,Australia,A-League,Melbourne City
Nicolas Popescu,59,CM,CB,187,75,Romania,SUPERLIGA,Farul Constanța
Abdul Rabeeh,59,RW,"RM, RB",169,65,India,ISL,Hyderabad FC
Iustin Răducan,59,ST,,174,68,Romania,SUPERLIGA,FC Petrolul
Jeremy Rafanello,59,ST,LW,185,77,United States,MLS,Philadelphia
Brooklyn Raines,59,CM,RW,172,63,United States,MLS,Houston Dynamo
Hmingthanmawia Ralte,59,CB,RB,178,69,India,ISL,Mumbai City FC
