Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Conor Gallagher,86,CM,"CAM, CDM",182,74,England,LaLiga,Atlético de Madrid
Alexandr Golovin,86,LM,"CAM, LW",178,69,Russia,Ligue 1,AS Monaco
Pascal Groß,86,CDM,CM,181,78,Germany,Bundesliga,Borussia Dortmund
Marc Guéhi,86,CB,,182,82,England,Premier League,Crystal Palace
Dávid Hancko,86,CB,LB,188,82,Slovakia,Eredivisie,Feyenoord
Benjamin Henrichs,86,RB,"RM, LB",183,79,Germany,Bundesliga,RB Leipzig
Piero Hincapié,86,CB,LB,184,77,Ecuador,Bundesliga,Bayer Leverkusen
Ferdi Kadıoğlu,86,LB,RB,174,73,Turkey,Premier League,Brighton
Daichi Kamada,86,CAM,CM,184,72,Japan,Premier League,Crystal Palace
Presnel Kimpembe,86,CB,,189,80,France,Ligue 1,Paris SG
Orkun Kökçü,86,CM,"CAM, CDM",175,69,Turkey,Liga Portugal,SL Benfica
Ezri Konsa,86,CB,RB,183,77,England,Premier League,Aston Villa
Odilon Kossounou,86,CB,RB,191,82,Côte d'Ivoire,Serie A,Bergamo Calcio
Andrej Kramarić,86,ST,"CAM, CM",177,73,Croatia,Bundesliga,TSG Hoffenheim
Takefusa Kubo,86,RW,"ST, RM",173,64,Japan,LaLiga,Real Sociedad
Ruben Loftus-Cheek,86,CM,CAM,191,88,England,Serie A,AC Milan
Andriy Lunin,86,GK,,191,83,Ukraine,LaLiga,Real Madrid
Iñigo Martínez,86,CB,,182,76,Spain,LaLiga,FC Barcelona
Noussair Mazraoui,86,RB,LB,183,65,Morocco,Premier League,Man Utd
Brais Méndez,86,CM,"RM, CAM",187,76,Spain,LaLiga,Real Sociedad
Alex Meret,86,GK,,192,82,Italy,Serie A,SSC Napoli
Arkadiusz Milik,86,ST,,186,80,Poland,Serie A,Juventus
Kaoru Mitoma,86,LM,LW,178,71,Japan,Premier League,Brighton
Fernando Muslera,86,GK,,190,74,Uruguay,Trendyol Süper Lig,Galatasaray
Riccardo Orsolini,86,RM,RW,183,83,Italy,Serie A,Bologna
Stefan Ortega,86,GK,,185,88,Germany,Premier League,Manchester City
Nicolás Otamendi,86,CB,,183,78,Argentina,Liga Portugal,SL Benfica
Isi Palazón,86,RM,"CAM, LM, RW",169,71,Spain,LaLiga,Rayo Vallecano
Aaron Ramsdale,86,GK,,191,77,England,Premier League,Southampton
Marcus Rashford,86,LM,"ST, LW",186,70,England,Premier League,Man Utd
David Raum,86,LB,LM,180,75,Germany,Bundesliga,RB Leipzig
Stefan Savić,86,CB,,187,80,Montenegro,Trendyol Süper Lig,Trabzonspor
Xaver Schlager,86,CDM,CM,174,76,Austria,Bundesliga,RB Leipzig
Jerdy Schouten,86,CDM,"CB, CM",185,74,Holland,Eredivisie,PSV Eindhoven
Ellyes Skhiri,86,CDM,CM,185,74,Tunisia,Bundesliga,Frankfurt
Milan Škriniar,86,CB,,188,80,Slovakia,Ligue 1,Paris SG
Dominic Solanke,86,ST,,187,80,England,Premier League,Tottenham Hotspur
David Soria,86,GK,,192,85,Spain,LaLiga,Getafe CF
Raheem Sterling,86,LM,"RM, LW",172,69,England,Premier League,Arsenal
Dominik Szoboszlai,86,CAM,CM,186,74,Hungary,Premier League,Liverpool
Youri Tielemans,86,CM,"CDM, CAM",176,72,Belgium,Premier League,Aston Villa
Manuel Ugarte,86,CDM,CM,182,77,Uruguay,Premier League,Man Utd
Deniz Undav,86,ST,CAM,179,86,Germany,Bundesliga,VfB Stuttgart
Álvaro Valles,86,GK,,192,82,Spain,LaLiga,UD Las Palmas
Lucas Vázquez,86,RB,,173,70,Spain,LaLiga,Real Madrid
Joey Veerman,86,CM,"CDM, CAM",185,75,Holland,Eredivisie,PSV Eindhoven
Vivian,86,CB,,183,83,Spain,LaLiga,Athletic Club
Callum Wilson,86,ST,,180,66,England,Premier League,Newcastle United
Lamine Yamal,86,RW,"LW, RM",180,65,Spain,LaLiga,FC Barcelona
Wilfried Zaha,86,LM,LW,180,66,Côte d'Ivoire,Ligue 1,Olympique Lyon
Piotr Zieliński,86,CM,CDM,180,75,Poland,Serie A,Inter Milan
Zubimendi,86,CDM,CM,181,74,Spain,LaLiga,Real Sociedad
Ali Al Musrati,85,CDM,CM,189,83,Libya,Trendyol Süper Lig,Beşiktaş
Jordi Alba,85,LB,,170,68,Spain,MLS,Inter Miami CF
Joachim Andersen,85,CB,,192,90,Denmark,Premier League,Fulham
Benjamin André,85,CDM,CM,180,76,France,Ligue 1,LOSC Lille
Marko Arnautović,85,ST,,192,83,Austria,Serie A,Inter Milan
Maximilian Arnold,85,CDM,CM,184,74,Germany,Bundesliga,VfL Wolfsburg
Fredrik Aursnes,85,RB,"LB, LM",179,71,Norway,Liga Portugal,SL Benfica
Simon Banza,85,ST,,189,77,Congo DR,Liga Portugal,SC Braga
Bradley Barcola,85,LW,"RW, LM",186,70,France,Ligue 1,Paris SG
Harvey Barnes,85,LW,LM,185,72,England,Premier League,Newcastle United
Christoph Baumgartner,85,CAM,ST,180,73,Austria,Bundesliga,RB Leipzig
Walter Benítez,85,GK,,191,93,Argentina,Eredivisie,PSV Eindhoven
Gonçalo Inácio,85,CB,"LB, CDM",185,78,Portugal,Liga Portugal,Sporting CP
Yves Bissouma,85,CDM,CM,182,78,Mali,Premier League,Tottenham Hotspur
Daley Blind,85,CB,"LB, CDM",180,72,Holland,LaLiga,Girona FC
Denis Bouanga,85,LW,"ST, LM",180,71,Gabon,MLS,LAFC
Yan Couto,85,RM,"RB, RW",168,60,Brazil,Bundesliga,Borussia Dortmund
Alessandro Buongiorno,85,CB,,190,86,Italy,Serie A,SSC Napoli
Davide Calabria,85,RB,,177,70,Italy,Serie A,AC Milan
Lucas Chevalier,85,GK,,189,78,France,Ligue 1,LOSC Lille
Samuel Chukwueze,85,RW,RM,172,70,Nigeria,Serie A,AC Milan
Jonathan Clauss,85,RB,RM,178,69,France,Ligue 1,OGC Nice
Kevin Danso,85,CB,,190,85,Austria,Ligue 1,RC Lens
Evanilson,85,ST,,181,77,Brazil,Premier League,AFC Bournemouth
De Marcos,85,RB,,182,78,Spain,LaLiga,Athletic Club
